"","transpo_mode","highest_education","travel_time","household_income","monthly_housing_total","PUMA"
"19863","Car, truck, or van","Regular high school diploma",45,20800,1400,"00504"
"19864","Car, truck, or van","Bachelor's degree",15,117500,1000,"00100"
"19865","Car, truck, or van","Associate's degree",25,117500,1000,"00100"
"19866","Bus or trolley bus","Master's degree",10,19320,650,"04500"
"19867","Other method","Regular high school diploma",30,19320,650,"04500"
"19868","Bicycle","1 or more years of college credit, no degree",18,19320,650,"04500"
"19869","Car, truck, or van","Some college, but less than 1 year",20,55000,800,"04500"
"19870","Car, truck, or van","Bachelor's degree",7,100500,2300,"04903"
"19871","Car, truck, or van","Bachelor's degree",20,100500,2300,"04903"
"19872","Car, truck, or van","Associate's degree",2,18700,1400,"04302"
"19873","Car, truck, or van","1 or more years of college credit, no degree",10,90450,1000,"01902"
"19874","Bus or trolley bus","Regular high school diploma",12,19300,20,"00502"
"19875","Car, truck, or van","Regular high school diploma",25,38900,200,"00100"
"19876","Car, truck, or van","Professional degree beyond a bachelor's degree",40,241000,3300,"00507"
"19877","Car, truck, or van","Bachelor's degree",40,241000,3300,"00507"
"19878","Car, truck, or van","Professional degree beyond a bachelor's degree",20,241000,3300,"00507"
"19879","Car, truck, or van","Master's degree",30,1e+05,1000,"00302"
"19880","Car, truck, or van","Master's degree",30,1e+05,1000,"00302"
"19881","Car, truck, or van","Bachelor's degree",30,85000,1100,"01900"
"19882","Car, truck, or van","Some college, but less than 1 year",20,85000,1100,"01900"
"19883","Car, truck, or van","Master's degree",75,175000,3300,"01400"
"19884","Car, truck, or van","Master's degree",60,145900,1800,"00504"
"19885","Car, truck, or van","Master's degree",10,194400,2200,"00503"
"19886","Car, truck, or van","Master's degree",144,194400,2200,"00503"
"19887","Car, truck, or van","Some college, but less than 1 year",144,194400,2200,"00503"
"19888","Car, truck, or van","Bachelor's degree",45,135000,1900,"00200"
"19889","Car, truck, or van","Doctorate degree",30,221000,700,"03602"
"19890","Car, truck, or van","Master's degree",5,221000,700,"03602"
"19891","Car, truck, or van","Some college, but less than 1 year",20,96300,1900,"00701"
"19892","Car, truck, or van","Bachelor's degree",15,96300,1900,"00701"
"19893","Car, truck, or van","Associate's degree",60,49400,1400,"03302"
"19894","Railroad","Bachelor's degree",50,206000,2000,"03305"
"19895","Car, truck, or van","Master's degree",8,772650,4000,"03500"
"19896","Car, truck, or van","Master's degree",10,25300,330,"00507"
"19897","Car, truck, or van","Regular high school diploma",20,65300,2900,"00303"
"19898","Railroad","Doctorate degree",90,252200,174,"00504"
"19899","Car, truck, or van","Master's degree",40,252200,174,"00504"
"19900","Car, truck, or van","Regular high school diploma",5,25000,900,"04303"
"19901","Car, truck, or van","Associate's degree",25,78000,2000,"04303"
"19902","Car, truck, or van","Associate's degree",45,78000,2000,"04303"
"19903","Car, truck, or van","Some college, but less than 1 year",45,151300,1900,"00304"
"19904","Car, truck, or van","Master's degree",20,151300,1900,"00304"
"19905","Car, truck, or van","Grade 11",15,151300,1900,"00304"
"19906","Car, truck, or van","Bachelor's degree",30,147000,150,"00303"
"19907","Car, truck, or van","1 or more years of college credit, no degree",35,73000,1200,"00200"
"19908","Car, truck, or van","Bachelor's degree",10,291500,4100,"02800"
"19909","Car, truck, or van","Bachelor's degree",5,291500,4100,"02800"
"19910","Car, truck, or van","Regular high school diploma",25,109900,650,"04500"
"19911","Car, truck, or van","Some college, but less than 1 year",15,37400,2500,"00502"
"19912","Car, truck, or van","Master's degree",30,232000,6270,"03500"
"19913","Car, truck, or van","Master's degree",50,232000,6270,"03500"
"19914","Car, truck, or van","Bachelor's degree",12,36040,820,"03306"
"19915","Taxicab","1 or more years of college credit, no degree",30,108000,2000,"03400"
"19916","Car, truck, or van","1 or more years of college credit, no degree",45,108000,2000,"03400"
"19917","Car, truck, or van","Doctorate degree",30,25000,3200,"03400"
"19918","Car, truck, or van","Bachelor's degree",10,150000,2300,"01000"
"19919","Car, truck, or van","GED or alternative credential",20,150000,2300,"01000"
"19920","Subway or elevated","Bachelor's degree",70,125000,1800,"04303"
"19921","Railroad","Bachelor's degree",60,86000,2900,"03302"
"19922","Walked","Bachelor's degree",15,86000,2900,"03302"
"19923","Car, truck, or van","Master's degree",30,65000,1000,"01902"
"19924","Car, truck, or van","Bachelor's degree",17,212400,2400,"00303"
"19925","Subway or elevated","Associate's degree",45,30000,670,"03305"
"19926","Walked","Professional degree beyond a bachelor's degree",5,115000,2300,"03302"
"19927","Bus or trolley bus","Doctorate degree",30,115000,2300,"03302"
"19928","Car, truck, or van","Master's degree",7,321000,1700,"04800"
"19929","Car, truck, or van","1 or more years of college credit, no degree",15,321000,1700,"04800"
"19930","Car, truck, or van","Bachelor's degree",45,271000,2600,"04903"
"19931","Car, truck, or van","1 or more years of college credit, no degree",5,271000,2600,"04903"
"19932","Car, truck, or van","Bachelor's degree",144,271000,2600,"04903"
"19933","Car, truck, or van","Bachelor's degree",60,271000,2600,"04903"
"19934","Bicycle","Master's degree",30,140000,3700,"00506"
"19935","Bicycle","Master's degree",10,140000,3700,"00506"
"19936","Bus or trolley bus","Master's degree",30,140000,3700,"00506"
"19937","Car, truck, or van","1 or more years of college credit, no degree",10,177000,2800,"02400"
"19938","Walked","Bachelor's degree",5,177000,2800,"02400"
"19939","Car, truck, or van","Associate's degree",30,280000,2200,"00702"
"19940","Car, truck, or van","Regular high school diploma",20,280000,2200,"00702"
"19941","Car, truck, or van","Some college, but less than 1 year",20,280000,2200,"00702"
"19942","Car, truck, or van","1 or more years of college credit, no degree",15,280000,2200,"00702"
"19943","Car, truck, or van","Master's degree",5,294000,1500,"03500"
"19944","Car, truck, or van","Professional degree beyond a bachelor's degree",10,294000,1500,"03500"
"19945","Car, truck, or van","Doctorate degree",30,187000,2890,"04700"
"19946","Car, truck, or van","Master's degree",20,187000,2890,"04700"
"19947","Car, truck, or van","Master's degree",10,50000,1200,"03304"
"19948","Car, truck, or van","1 or more years of college credit, no degree",15,55600,1200,"00504"
"19949","Subway or elevated","Doctorate degree",40,52000,1500,"03302"
"19950","Car, truck, or van","Master's degree",40,74000,840,"00200"
"19951","Subway or elevated","Doctorate degree",75,188000,3000,"00504"
"19952","Car, truck, or van","Master's degree",30,188000,3000,"00504"
"19953","Car, truck, or van","GED or alternative credential",10,39400,800,"00200"
"19954","Car, truck, or van","Professional degree beyond a bachelor's degree",35,380000,6200,"03500"
"19955","Car, truck, or van","Professional degree beyond a bachelor's degree",35,380000,6200,"03500"
"19956","Car, truck, or van","Regular high school diploma",20,131700,2000,"04902"
"19957","Car, truck, or van","Bachelor's degree",30,130000,1500,"01400"
"19958","Car, truck, or van","Associate's degree",30,130000,1500,"01400"
"19959","Car, truck, or van","Bachelor's degree",15,130000,1500,"01400"
"19960","Car, truck, or van","Some college, but less than 1 year",7,189400,2200,"00702"
"19961","Car, truck, or van","Some college, but less than 1 year",40,189400,2200,"00702"
"19962","Car, truck, or van","Grade 9",8,189400,2200,"00702"
"19963","Car, truck, or van","1 or more years of college credit, no degree",60,76200,950,"00304"
"19964","Car, truck, or van","1 or more years of college credit, no degree",30,76200,950,"00304"
"19965","Car, truck, or van","1 or more years of college credit, no degree",90,76200,950,"00304"
"19966","Car, truck, or van","1 or more years of college credit, no degree",15,47000,1900,"04000"
"19967","Car, truck, or van","Regular high school diploma",10,47000,1900,"04000"
"19968","Car, truck, or van","Associate's degree",15,97700,1400,"03900"
"19969","Walked","Bachelor's degree",30,58000,2900,"00506"
"19970","Subway or elevated","Bachelor's degree",15,58000,2900,"00506"
"19971","Car, truck, or van","Master's degree",60,155600,1600,"04200"
"19972","Car, truck, or van","Bachelor's degree",5,155600,1600,"04200"
"19973","Car, truck, or van","Bachelor's degree",15,58300,1610,"00701"
"19974","Walked","Professional degree beyond a bachelor's degree",5,45000,2000,"03302"
"19975","Car, truck, or van","Bachelor's degree",35,177900,2020,"01300"
"19976","Car, truck, or van","Bachelor's degree",30,177900,2020,"01300"
"19977","Bus or trolley bus","Associate's degree",60,35000,960,"03304"
"19978","Car, truck, or van","Regular high school diploma",30,35700,1000,"00704"
"19979","Car, truck, or van","Grade 11",15,118000,1800,"04800"
"19980","Car, truck, or van","Regular high school diploma",10,118000,1800,"04800"
"19981","Car, truck, or van","Some college, but less than 1 year",58,142000,1900,"00200"
"19982","Car, truck, or van","Master's degree",30,132000,2800,"03601"
"19983","Car, truck, or van","Doctorate degree",60,93000,1580,"00505"
"19984","Car, truck, or van","Regular high school diploma",35,52000,1100,"04200"
"19985","Car, truck, or van","Bachelor's degree",90,2e+05,2700,"00501"
"19986","Car, truck, or van","Regular high school diploma",10,118900,1800,"03306"
"19987","Walked","1 or more years of college credit, no degree",5,118900,1800,"03306"
"19988","Car, truck, or van","Bachelor's degree",30,1e+05,1600,"01300"
"19989","Car, truck, or van","Some college, but less than 1 year",20,52900,1500,"03303"
"19990","Car, truck, or van","Professional degree beyond a bachelor's degree",45,240000,1700,"00703"
"19991","Car, truck, or van","1 or more years of college credit, no degree",10,134000,960,"01902"
"19992","Car, truck, or van","Bachelor's degree",15,134000,960,"01902"
"19993","Car, truck, or van","Regular high school diploma",25,39400,750,"00200"
"19994","Car, truck, or van","Master's degree",40,223400,2500,"01400"
"19995","Car, truck, or van","Grade 11",5,223400,2500,"01400"
"19996","Car, truck, or van","Bachelor's degree",12,135000,1600,"00100"
"19997","Car, truck, or van","Bachelor's degree",30,135000,1600,"00100"
"19998","Car, truck, or van","Doctorate degree",5,168000,1200,"00100"
"19999","Car, truck, or van","Doctorate degree",5,168000,1200,"00100"
"20000","Car, truck, or van","Regular high school diploma",75,30000,2000,"03603"
"20001","Car, truck, or van","Regular high school diploma",5,39200,890,"04303"
"20002","Car, truck, or van","Bachelor's degree",5,185000,1800,"00501"
"20003","Car, truck, or van","Bachelor's degree",40,185000,1800,"00501"
"20004","Car, truck, or van","Master's degree",30,210000,1800,"02400"
"20005","Car, truck, or van","Bachelor's degree",20,210000,1800,"02400"
"20006","Car, truck, or van","Regular high school diploma",10,43100,2000,"00508"
"20007","Subway or elevated","Regular high school diploma",45,43100,2000,"00508"
"20008","Car, truck, or van","Associate's degree",60,376000,2900,"00303"
"20009","Car, truck, or van","Professional degree beyond a bachelor's degree",20,376000,2900,"00303"
"20010","Car, truck, or van","Bachelor's degree",45,376000,2900,"00303"
"20011","Car, truck, or van","Regular high school diploma",20,376000,2900,"00303"
"20012","Car, truck, or van","Bachelor's degree",20,25000,1000,"03306"
"20013","Car, truck, or van","Doctorate degree",25,92500,2360,"00303"
"20014","Car, truck, or van","Master's degree",50,92500,2360,"00303"
"20015","Subway or elevated","Bachelor's degree",30,86200,1700,"03301"
"20016","Car, truck, or van","Bachelor's degree",45,156000,1100,"00304"
"20017","Car, truck, or van","Regular high school diploma",15,156000,1100,"00304"
"20018","Walked","1 or more years of college credit, no degree",10,78000,1900,"03301"
"20019","Bicycle","Bachelor's degree",30,78000,1900,"03301"
"20020","Car, truck, or van","Bachelor's degree",40,166000,3200,"04903"
"20021","Car, truck, or van","Master's degree",60,166000,3200,"04903"
"20022","Car, truck, or van","Professional degree beyond a bachelor's degree",18,1e+05,1400,"00200"
"20023","Car, truck, or van","Master's degree",75,76300,2000,"00302"
"20024","Car, truck, or van","Grade 7",30,132000,730,"03301"
"20025","Car, truck, or van","1 or more years of college credit, no degree",35,136000,2200,"00701"
"20026","Car, truck, or van","1 or more years of college credit, no degree",30,136000,2200,"00701"
"20027","Car, truck, or van","1 or more years of college credit, no degree",35,136000,2200,"00701"
"20028","Car, truck, or van","1 or more years of college credit, no degree",45,136000,2200,"00701"
"20029","Car, truck, or van","Some college, but less than 1 year",20,130000,1400,"00304"
"20030","Car, truck, or van","Grade 11",15,130000,1400,"00304"
"20031","Car, truck, or van","Associate's degree",60,137000,1600,"01600"
"20032","Car, truck, or van","12th grade - no diploma",2,137000,1600,"01600"
"20033","Car, truck, or van","Bachelor's degree",30,98000,1600,"02400"
"20034","Car, truck, or van","Bachelor's degree",30,98000,1600,"02400"
"20035","Car, truck, or van","Professional degree beyond a bachelor's degree",50,318900,3600,"00505"
"20036","Car, truck, or van","Professional degree beyond a bachelor's degree",50,318900,3600,"00505"
"20037","Subway or elevated","Doctorate degree",70,170000,2900,"00505"
"20038","Car, truck, or van","Bachelor's degree",30,123100,3580,"01000"
"20039","Car, truck, or van","Bachelor's degree",10,209000,2500,"04903"
"20040","Car, truck, or van","Bachelor's degree",5,209000,2500,"04903"
"20041","Car, truck, or van","Associate's degree",15,209000,2500,"04903"
"20042","Car, truck, or van","Bachelor's degree",15,127100,1100,"01000"
"20043","Car, truck, or van","Some college, but less than 1 year",25,127100,1100,"01000"
"20044","Car, truck, or van","Bachelor's degree",75,98500,2000,"02800"
"20045","Car, truck, or van","Master's degree",75,98500,2000,"02800"
